Employee_No,Attrition,Gender,Age,Education,Education_Field,Marital_Status,Department,Job_Role,Job_Level,Distance_From_Home,Business_Travel,Hourly_Rate,Daily_Rate,Monthly_Rate,Monthly_Income,Percent_Salary_Hike,Job_Involvement,Performance_Rating,Environment_Satisfaction,Job_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Over_Time,Stock_Option_Level,No_Companies_Worked,Total_Working_Years,Training_Times_LastYear,Years_At_Company,Years_In_Current_Role,Years_Since_LastPromotion,Years_with_Curr_Manager
33,Yes,Female,Between 32 to 38,Below college,Life Sciences,Single,Research & Development,Research Scientist,1,10 - 19 km,Travel_Frequently,72,1125,4681,3919,22,Low,Outstanding,Medium,Low,Medium,Better,Yes,0,1,0 - 10 years,5,0 - 10 years,0 - 5 years,6 - 10 years,6 - 10 years
35,No,Male,Between 39 to 44,Master,Marketing,Married,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,48,691,21173,6825,11,High,Excellent,High,Medium,Very High,Better,No,1,0,0 - 10 years,2,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
36,No,Female,Between 39 to 44,Master,Medical,Married,Research & Development,Healthcare Representative,3,1 - 9 km,Travel_Rarely,42,477,2094,10248,14,Medium,Excellent,Low,Very High,Very High,Better,No,1,3,21 - 30 years,4,21 - 30 years,6 - 10 years,0 - 5 years,16 - 20 years
38,No,Female,Between 45 to 51,Master,Marketing,Single,Sales,Manager,5,1 - 9 km,Travel_Rarely,83,705,22822,18947,12,High,Excellent,Medium,Low,Very High,Good,No,0,3,21 - 30 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
39,No,Male,Between 32 to 38,Bachelor,Medical,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,78,924,6670,2496,11,High,Excellent,High,Very High,Very High,Better,No,0,4,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
40,No,Male,Between 39 to 44,Master,Other,Married,Research & Development,Healthcare Representative,2,10 - 19 km,Travel_Rarely,41,1459,19121,6465,13,High,Excellent,Very High,Very High,Very High,Best,Yes,0,2,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
41,No,Male,Between 25 to 31,College,Medical,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,83,125,16117,2206,13,Medium,Excellent,Very High,High,Low,Better,No,0,1,0 - 10 years,5,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
42,Yes,Male,Between 39 to 44,Bachelor,Technical Degree,Married,Sales,Sales Representative,2,1 - 9 km,Travel_Rarely,56,895,3335,2086,14,High,Excellent,Very High,Very High,High,Best,No,1,3,11 - 20 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
45,Yes,Male,Between 18 to 24,Bachelor,Medical,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,61,813,3020,2293,16,High,Excellent,Medium,Very High,Low,Good,Yes,1,2,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
46,No,Female,Between 39 to 44,College,Medical,Divorced,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,72,1273,21923,2645,12,Very High,Excellent,Very High,High,Very High,Good,No,2,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
47,Yes,Male,Between 45 to 51,College,Marketing,Married,Sales,Sales Representative,1,1 - 9 km,Travel_Rarely,86,869,3810,2683,14,Medium,Excellent,Low,High,High,Better,Yes,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
49,No,Female,Between 32 to 38,Bachelor,Marketing,Married,Sales,Sales Representative,1,1 - 9 km,Travel_Rarely,97,890,9687,2014,13,High,Excellent,Very High,Very High,Low,Better,No,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
51,No,Female,Between 32 to 38,Master,Life Sciences,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,82,852,13072,3419,14,Medium,Excellent,Medium,Low,Very High,Best,Yes,1,9,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
52,No,Female,Between 32 to 38,Bachelor,Life Sciences,Married,Sales,Sales Executive,2,1 - 9 km,Travel_Frequently,42,1141,3193,5376,19,Very High,Excellent,High,Low,Low,Better,No,2,2,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
53,No,Male,Between 32 to 38,College,Other,Divorced,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,75,464,10910,1951,12,High,Excellent,High,Very High,High,Better,No,1,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
54,No,Female,Between 25 to 31,Master,Life Sciences,Divorced,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,33,1240,19715,2341,13,High,Excellent,Very High,Low,Very High,Better,No,1,1,0 - 10 years,6,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
55,Yes,Male,Between 25 to 31,Bachelor,Life Sciences,Single,Research & Development,Laboratory Technician,1,20 - 30 km,Travel_Rarely,48,1357,10558,2293,12,Low,Excellent,Low,High,High,Good,No,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
56,No,Male,Between 25 to 31,Bachelor,Life Sciences,Single,Sales,Sales Executive,3,1 - 9 km,Travel_Frequently,37,994,2975,8726,15,High,Excellent,Very High,High,Very High,Better,No,0,1,0 - 10 years,0,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
57,No,Female,Between 25 to 31,College,Medical,Single,Research & Development,Laboratory Technician,2,1 - 9 km,Travel_Frequently,58,721,10781,4011,23,High,Outstanding,High,Very High,Very High,Better,No,0,1,11 - 20 years,2,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
58,Yes,Female,Between 39 to 44,Bachelor,Technical Degree,Married,Research & Development,Research Director,5,10 - 19 km,Travel_Rarely,49,1360,16280,19545,12,High,Excellent,Medium,High,Very High,Better,No,0,1,21 - 30 years,0,21 - 30 years,11 - 15 years,11 - 15 Years,6 - 10 years
60,No,Male,Between 32 to 38,Master,Marketing,Single,Sales,Sales Executive,2,20 - 30 km,Non-Travel,72,1065,10034,4568,20,High,Outstanding,Medium,High,High,Better,No,0,0,0 - 10 years,2,0 - 10 years,0 - 5 years,6 - 10 years,6 - 10 years
61,No,Male,Between 32 to 38,College,Life Sciences,Married,Research & Development,Research Scientist,1,10 - 19 km,Travel_Rarely,73,408,10227,3022,21,High,Outstanding,Medium,Medium,Low,Better,No,0,4,0 - 10 years,1,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
62,No,Male,Between 45 to 51,Master,Marketing,Single,Sales,Sales Executive,2,1 - 9 km,Travel_Frequently,98,1211,20445,5772,21,High,Outstanding,Low,Very High,High,Better,Yes,0,4,11 - 20 years,4,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
63,No,Male,Between 32 to 38,Below college,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,36,1229,4892,2269,19,Very High,Excellent,Very High,Very High,Very High,Better,No,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
64,Yes,Male,Between 45 to 51,College,Life Sciences,Single,Research & Development,Laboratory Technician,3,1 - 9 km,Travel_Rarely,98,626,19294,5381,13,Medium,Excellent,Low,High,Very High,Better,Yes,0,9,21 - 30 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
65,Yes,Male,Between 25 to 31,Master,Technical Degree,Single,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,50,1434,11179,3441,13,High,Excellent,High,High,High,Good,Yes,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
68,No,Female,Between 39 to 44,Doctor,Marketing,Divorced,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,75,1488,4009,5454,21,High,Outstanding,Medium,Low,High,Good,Yes,1,5,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
70,No,Male,Between 32 to 38,College,Medical,Married,Research & Development,Healthcare Representative,3,10 - 19 km,Non-Travel,79,1097,8302,9884,13,Medium,Excellent,High,Low,High,Better,Yes,1,2,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
72,No,Female,Between 25 to 31,Bachelor,Marketing,Married,Sales,Sales Executive,2,20 - 30 km,Travel_Rarely,47,1443,21436,4157,19,Medium,Excellent,High,Very High,High,Good,Yes,1,7,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
73,No,Female,Between 32 to 38,College,Life Sciences,Single,Research & Development,Research Director,3,1 - 9 km,Travel_Frequently,98,515,15146,13458,12,High,Excellent,Low,Very High,High,Better,Yes,0,1,11 - 20 years,1,11 - 20 years,11 - 15 years,6 - 10 years,11 - 15 years
74,No,Male,Between 32 to 38,Doctor,Life Sciences,Married,Sales,Sales Executive,3,10 - 19 km,Travel_Frequently,71,853,11031,9069,22,High,Outstanding,Medium,Low,Very High,Good,No,1,1,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
75,No,Female,Between 32 to 38,Master,Medical,Married,Research & Development,Laboratory Technician,1,20 - 30 km,Travel_Rarely,30,1142,16002,4014,15,High,Excellent,High,Low,High,Better,Yes,1,3,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
76,No,Male,Between 25 to 31,Master,Life Sciences,Divorced,Research & Development,Laboratory Technician,2,1 - 9 km,Travel_Rarely,48,655,9528,5915,22,High,Outstanding,Very High,Very High,Very High,Good,No,1,3,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
77,No,Male,Between 32 to 38,Master,Life Sciences,Divorced,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,51,1115,2689,5993,18,Medium,Excellent,Low,High,High,Best,No,1,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
78,No,Male,Between 32 to 38,Bachelor,Medical,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,33,427,10877,6162,22,High,Outstanding,Low,Very High,Medium,Better,Yes,1,1,0 - 10 years,3,0 - 10 years,6 - 10 years,6 - 10 years,6 - 10 years
79,No,Female,Between 32 to 38,Doctor,Life Sciences,Single,Research & Development,Laboratory Technician,2,20 - 30 km,Travel_Frequently,50,653,5456,2406,11,High,Excellent,Very High,Very High,Very High,Better,No,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,6 - 10 years,6 - 10 years
80,No,Female,Between 45 to 51,College,Medical,Divorced,Research & Development,Research Director,5,1 - 9 km,Travel_Rarely,43,989,16701,18740,12,Medium,Excellent,Medium,High,Very High,Good,Yes,1,5,21 - 30 years,2,21 - 30 years,0 - 5 years,11 - 15 Years,6 - 10 years
81,No,Female,52 and more than 52,Bachelor,Life Sciences,Single,Sales,Sales Executive,3,20 - 30 km,Travel_Rarely,99,1435,2354,7637,11,High,Excellent,Low,Low,Very High,Good,No,0,7,21 - 30 years,3,21 - 30 years,16 - 20 years,6 - 10 years,6 - 10 years
83,No,Female,Between 32 to 38,Bachelor,Technical Degree,Divorced,Research & Development,Healthcare Representative,3,1 - 9 km,Travel_Rarely,59,1223,8202,10096,13,High,Excellent,High,High,Medium,Better,No,3,1,11 - 20 years,2,11 - 20 years,11 - 15 years,11 - 15 Years,6 - 10 years
84,No,Female,52 and more than 52,Bachelor,Medical,Divorced,Research & Development,Manager,4,1 - 9 km,Travel_Rarely,33,836,19730,14756,14,High,Excellent,Very High,High,High,Better,Yes,3,2,21 - 30 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
85,No,Male,Between 32 to 38,Bachelor,Life Sciences,Single,Research & Development,Manufacturing Director,2,10 - 19 km,Travel_Frequently,95,1195,22656,6499,13,Medium,Excellent,Medium,Medium,High,Better,No,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
86,No,Male,Between 45 to 51,Bachelor,Life Sciences,Divorced,Research & Development,Research Scientist,3,1 - 9 km,Travel_Rarely,59,1339,18787,9724,17,High,Excellent,Medium,Low,High,Better,No,1,2,21 - 30 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
88,No,Male,Between 32 to 38,Bachelor,Medical,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Frequently,79,664,5868,2194,13,High,Excellent,Medium,Low,Very High,Good,No,1,4,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
90,Yes,Male,Between 32 to 38,Bachelor,Medical,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,79,318,21777,3388,17,Medium,Excellent,Very High,High,Low,Good,Yes,1,0,0 - 10 years,0,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
91,No,Female,52 and more than 52,Below college,Life Sciences,Single,Sales,Sales Executive,2,1 - 9 km,Travel_Frequently,57,1225,24668,5473,11,Medium,Excellent,Low,High,Very High,Good,No,0,7,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
94,No,Male,Between 25 to 31,Bachelor,Life Sciences,Married,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,76,1328,4956,2703,23,High,Outstanding,High,Medium,Very High,Better,No,1,0,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
95,No,Male,Between 25 to 31,Master,Medical,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,87,1082,18775,2501,17,High,Excellent,High,Medium,Medium,Better,No,0,1,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
96,No,Male,Between 32 to 38,Bachelor,Life Sciences,Married,Research & Development,Research Scientist,2,1 - 9 km,Travel_Rarely,66,548,7346,6220,17,High,Excellent,Medium,Medium,Medium,Better,No,2,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,6 - 10 years
97,No,Female,Between 32 to 38,Bachelor,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,55,132,22002,3038,12,Very High,Excellent,Medium,Very High,Medium,Better,No,0,3,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
98,No,Female,Between 25 to 31,Master,Life Sciences,Single,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,61,746,20682,4424,23,High,Outstanding,High,Very High,Very High,Better,No,0,1,11 - 20 years,2,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
100,No,Male,Between 32 to 38,Master,Marketing,Single,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,32,776,23016,4312,14,Medium,Excellent,High,Low,Medium,Better,No,0,0,11 - 20 years,2,11 - 20 years,11 - 15 years,0 - 5 years,6 - 10 years
101,No,Male,Between 45 to 51,Master,Other,Married,Research & Development,Research Director,3,1 - 9 km,Travel_Rarely,52,193,15067,13245,14,High,Excellent,Very High,Low,Medium,Best,Yes,0,4,11 - 20 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
102,No,Male,Between 32 to 38,Master,Medical,Single,Research & Development,Research Director,3,1 - 9 km,Travel_Rarely,30,397,25258,13664,13,High,Excellent,Low,High,Low,Best,No,0,4,11 - 20 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
103,No,Male,Between 45 to 51,College,Medical,Divorced,Human Resources,Human Resources,2,1 - 9 km,Travel_Rarely,80,945,10425,5021,22,High,Outstanding,Medium,Medium,Very High,Better,Yes,1,8,11 - 20 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
104,No,Male,Between 25 to 31,Below college,Life Sciences,Married,Research & Development,Laboratory Technician,2,1 - 9 km,Travel_Rarely,55,852,15998,5126,12,Medium,Excellent,Very High,Very High,High,Good,Yes,2,1,0 - 10 years,1,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
105,No,Male,Between 32 to 38,Bachelor,Medical,Single,Research & Development,Research Scientist,1,1 - 9 km,Travel_Rarely,30,1214,26278,2859,18,Medium,Excellent,Medium,High,Low,Better,No,0,1,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
106,No,Male,52 and more than 52,College,Life Sciences,Married,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,70,111,18092,10239,14,High,Excellent,Low,Very High,Very High,Better,No,1,3,21 - 30 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
107,No,Female,Between 32 to 38,Bachelor,Medical,Divorced,Research & Development,Research Scientist,2,1 - 9 km,Non-Travel,79,573,15717,5329,12,Low,Excellent,Medium,Very High,Very High,Better,Yes,3,7,11 - 20 years,3,11 - 20 years,11 - 15 years,0 - 5 years,6 - 10 years
110,No,Male,Between 32 to 38,College,Medical,Married,Research & Development,Manufacturing Director,2,1 - 9 km,Travel_Rarely,94,1153,17736,4325,15,High,Excellent,Low,Medium,High,Better,No,0,1,0 - 10 years,2,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
112,No,Male,52 and more than 52,Bachelor,Life Sciences,Single,Research & Development,Manufacturing Director,3,1 - 9 km,Travel_Rarely,49,1400,21698,7260,11,Low,Excellent,Very High,Very High,Low,Good,No,0,4,More than 31 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
113,No,Male,Between 18 to 24,Below college,Technical Degree,Divorced,Sales,Sales Representative,1,1 - 9 km,Travel_Rarely,62,541,9518,2322,13,High,Excellent,High,Low,High,Better,No,1,3,0 - 10 years,3,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
116,No,Male,Between 45 to 51,Master,Life Sciences,Married,Research & Development,Laboratory Technician,1,1 - 9 km,Travel_Rarely,96,432,18725,2075,23,High,Outstanding,Very High,Very High,Medium,Better,No,2,3,0 - 10 years,4,0 - 10 years,0 - 5 years,0 - 5 years,0 - 5 years
117,No,Male,Between 25 to 31,Bachelor,Life Sciences,Married,Research & Development,Healthcare Representative,2,1 - 9 km,Travel_Rarely,99,288,15830,4152,19,Medium,Excellent,High,Very High,Low,Better,No,3,1,11 - 20 years,3,11 - 20 years,6 - 10 years,6 - 10 years,6 - 10 years
118,Yes,Male,Between 45 to 51,College,Medical,Single,Sales,Sales Executive,3,1 - 9 km,Travel_Rarely,64,669,13596,9619,16,Medium,Excellent,High,Very High,Very High,Better,No,0,1,0 - 10 years,3,0 - 10 years,6 - 10 years,0 - 5 years,6 - 10 years
119,No,Male,Between 39 to 44,Master,Life Sciences,Married,Research & Development,Healthcare Representative,4,1 - 9 km,Travel_Frequently,78,530,14115,13503,22,Medium,Outstanding,High,Medium,Very High,Good,No,1,1,21 - 30 years,3,21 - 30 years,0 - 5 years,11 - 15 Years,11 - 15 years
120,No,Male,Between 45 to 51,Master,Marketing,Single,Sales,Sales Executive,2,20 - 30 km,Travel_Rarely,71,632,8423,5441,22,High,Outstanding,High,Very High,Very High,Bad,Yes,0,0,11 - 20 years,2,0 - 10 years,6 - 10 years,0 - 5 years,0 - 5 years
121,No,Female,Between 25 to 31,College,Medical,Divorced,Sales,Sales Executive,2,1 - 9 km,Travel_Rarely,63,1334,19760,5209,12,Medium,Excellent,High,Medium,Medium,Good,Yes,3,1,11 - 20 years,4,11 - 20 years,6 - 10 years,0 - 5 years,6 - 10 years
124,No,Male,Between 45 to 51,Bachelor,Medical,Married,Research & Development,Healthcare Representative,3,1 - 9 km,Travel_Frequently,40,638,3142,10673,13,Medium,Excellent,High,Low,High,Good,Yes,1,2,21 - 30 years,5,0 - 10 years,6 - 10 years,6 - 10 years,0 - 5 years
